time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.40254864484e-06,2.28593936755e-07,10.0052845929,0.000207515901317,0.000875662668514,0.0,-0.000107328842062,2.02455687197e-05,0.176141569234,0.00960708361601,0.0340954728481,0.0,459.6119532875458,462.3057760364116,459.5095881921179,460.2703450365804
0.12000000000000001,-3.53323028236e-05,8.2560944514e-06,10.0201807156,0.000591343608583,0.00265456657267,0.0,-0.00123334390584,0.000300460716292,0.320365387255,-0.000952211744088,0.0188085081359,0.0,451.2784745898516,450.0432997618486,451.28901176480997,450.43594409354534
0.18,-0.000180756499778,4.06895570203e-05,10.0466653891,0.00020743918186,0.00336449647039,0.0,-0.00373445771371,0.000757376946921,0.562368725275,-0.0204636875322,-0.00819914336378,0.0,479.736931439455,477.68208017120526,482.00092511754724,480.524432811556
0.23999999999999996,-0.000476140699451,8.59728214126e-05,10.0845656133,6.28241681702,0.00265120283521,0.0,-0.00604789648457,0.000634566248112,0.700897028512,-0.00897032702471,-0.0205342053428,0.0,449.9263851679652,448.926867571825,448.72464147354054,449.6566258408677
0.3,-0.000894040219408,0.000105292675351,10.1317071704,6.28255380074,0.00126704080864,0.0,-0.00773555253209,-5.94726627123e-06,0.870374480429,0.0185015979232,-0.0286939182639,0.0,459.70197872349064,459.05500291532786,457.41163166417545,459.5938922860034
0.36000000000000004,-0.00137911105738,9.57288519136e-05,10.187712054,0.000176611521973,2.55254962829e-05,0.0,-0.00828026648508,-0.000208513997132,0.99635342387,0.000788243985003,-0.00819205129492,0.0,444.52577386561427,446.20238028182393,447.05649030553303,445.61093518621055
0.4200000000000001,-0.00187451752922,8.70916171635e-05,10.2510822496,6.28309346025,6.28269086174,0.0,-0.00818026163892,-8.79525533928e-05,1.11587705155,-0.017915064903,-0.00963173106076,0.0,444.1341091047703,444.01614850411096,444.81675652207997,443.282717329319
0.48000000000000015,-0.00235237064308,7.56901990261e-05,10.3225834054,6.28230987882,6.28244305243,0.0,-0.00770498339845,-0.00039233847406,1.26733892644,-0.00478568307544,0.00507187055115,0.0,453.87497310192504,455.0534499162513,453.3752632655135,454.4289152172244
0.5400000000000001,-0.00280074090899,3.33004336664e-05,10.4019544583,6.28253414039,6.28220530426,0.0,-0.00725899686608,-0.00101974957666,1.3782354813,0.0168752766386,-0.0362836372483,0.0,444.5119193686592,441.1102571375609,440.18277641518864,441.9714561043709
0.6000000000000002,-0.00320875246821,-3.71470045086e-05,10.4868335635,0.000259249820102,6.27982562106,0.0,-0.00611934680646,-0.00123403488387,1.4509779597,0.0115325624915,-0.0474548699483,0.0,429.56538066795457,428.6162170288715,431.26779588982663,430.8162398640334
0.6600000000000003,-0.0034820587123,-0.00010178326842,10.58051418,0.000953776395006,6.2773576885,0.0,-0.00267636515938,-0.000837564243512,1.67141221243,0.0116610657513,-0.0308011728525,0.0,474.55064438871756,475.8263124511611,476.01593599649146,476.02563533328987
0.7200000000000003,-0.00349451994679,-0.000126026244955,10.6871329079,0.00167723080127,6.27526558808,0.0,0.0024903441009,0.000113362099991,1.88222110663,0.0128390175025,-0.0445836343678,0.0,473.97221987059163,472.9114017474005,473.3325744402681,473.42307939953525
0.7800000000000004,-0.00315250305819,-7.63556203469e-05,10.8052862779,0.0032443401569,6.27230040261,0.0,0.00922340044938,0.00168305363431,2.05592556599,0.0443831345396,-0.0614620451862,0.0,463.0663050870314,461.7352486928222,462.4953776524431,464.97313909943307
0.8400000000000004,-0.00232596215057,0.000113105745532,10.9346379481,0.00599086076663,6.26898494219,0.0,0.0187296976012,0.00494670509232,2.25541891037,0.0484229249659,-0.0450876646673,0.0,470.2192696241108,471.48402178542347,471.75178901431775,472.0646955906964
0.9000000000000005,-0.000866680498646,0.000558793428569,11.0751185785,0.00882987331114,6.26602205533,0.0,0.0302248866885,0.0102306237782,2.42691364281,0.0450083595251,-0.0597594301459,0.0,464.82331055566465,463.6706816482008,463.5477020090604,463.2805569779927
0.9600000000000005,0.00133939589896,0.00137797234731,11.2250954951,0.0112959007839,6.26204122514,0.0,0.0437107851783,0.0173545576132,2.57199143166,0.0318425067415,-0.0846961164162,0.0,457.68966804226733,455.6973275027893,456.99545917659543,455.94566866226927
1.0200000000000005,0.00439543195039,0.00264846894212,11.3814090708,0.0134854487555,6.25754749192,0.0,0.058613365427,0.025193586203,2.6382967782,0.0444631140024,-0.0602742780136,0.0,432.38714283952754,434.43484314778664,431.2403862692834,432.30575381999836
1.0800000000000005,0.00849431887408,0.00446921045971,11.5441670119,0.0158582978315,6.25357790904,0.0,0.0784167046448,0.0357704586309,2.786602256,0.0272500087571,-0.0817760473025,0.0,460.0303219404604,458.32131404644105,458.70690663907254,457.3386764973954
1.1400000000000006,0.0139267505014,0.00700128561671,11.7175613669,0.0177337770028,6.24925454298,0.0,0.10318583163,0.0488310987302,2.99267161154,0.0382620868015,-0.0575258552317,0.0,475.02217493378686,476.8742627817011,476.80479834072463,477.6456051463649
1.2000000000000006,0.0209505831553,0.0103682304111,11.9035372958,0.0197923388858,6.24542710833,0.0,0.131348710895,0.0636498832992,3.20593059344,0.0249229580819,-0.0808433958244,0.0,480.4971215089886,478.72329346976346,480.44044560408844,479.42839805247746
1.2600000000000007,0.0297422576644,0.01466045273,12.1018008356,0.0214912005152,6.24114184211,0.0,0.162210671834,0.079598827984,3.40226270953,0.0343548665159,-0.0572313130534,0.0,474.85127184292054,476.6554009183768,475.9546195070557,476.67610075151185
